refund_id,return_id,refund_amount,refund_status,refund_date
108,2071,18878.04,Processed,2025-07-23
109,2125,5258.81,Processed,2024-04-13
110,1717,64067.32,Pending,2024-05-28
111,925,13213.55,Processed,2023-10-27
112,4251,2635.59,Processed,2024-07-23
113,2779,44419.46,Pending,2023-02-09
114,1934,59719.54,Processed,2023-10-14
115,3039,16507.8,Processed,2025-07-03
116,2982,38670.13,Processed,2023-05-24
117,3241,61391.99,Pending,2025-03-28
118,932,6047.1,Pending,2022-12-04
119,1724,82952.81,Processed,2024-03-01
120,124,44685.93,Processed,2022-12-21
121,44,67227.3,Pending,2022-12-17
122,1022,87025.54,Processed,2023-07-27
123,1937,33253.29,Processed,2025-04-21
124,4708,20914.76,Processed,2022-10-28
125,2732,41661.66,Pending,2024-12-19
126,53,11667.54,Pending,2025-05-08
127,4642,72694.99,Pending,2023-07-28
128,4349,40209.21,Processed,2022-10-31
129,4110,24967.46,Processed,2023-05-02
130,1072,43850.31,Processed,2024-11-28
131,2545,42570.69,Pending,2023-10-22
132,16,23303.09,Pending,2025-09-13
133,1136,85941.05,Processed,2023-05-21
134,319,80314.98,Pending,2022-12-25
135,4612,51024.4,Processed,2022-11-28
136,4242,89504.71,Processed,2025-03-09
137,956,11890.53,Processed,2023-08-12
138,1049,85384.87,Pending,2024-04-14
139,1179,30824.06,Processed,2023-09-22
140,3623,39996.18,Processed,2025-05-11
141,4117,56305.39,Pending,2023-07-31
142,3545,70948.19,Pending,2023-01-06
143,4614,65070.85,Pending,2023-05-04
144,2650,80964.8,Pending,2024-11-10
145,2913,32801.03,Processed,2024-11-22
146,3982,8007.93,Processed,2024-09-19
147,4916,21669.95,Pending,2023-09-21
148,949,15424.75,Pending,2024-08-06
149,1711,59115.36,Processed,2023-11-03
150,4704,56380.03,Processed,2023-03-19
151,3495,69368.94,Pending,2024-06-25
152,2161,35598.28,Processed,2024-12-21
153,4865,80962.13,Pending,2025-08-18
154,486,19887.36,Processed,2025-06-23
155,980,66281.27,Pending,2023-01-18
156,1610,5469.38,Pending,2025-09-18
157,1162,88322.7,Processed,2025-06-17
158,1236,73111.04,Processed,2025-02-13
159,3452,58695.37,Processed,2025-05-01
160,1354,28641.76,Processed,2024-01-16
161,3606,817.62,Pending,2023-11-23
162,4504,6239.1,Processed,2022-10-15
163,2323,89056.29,Pending,2023-04-11
164,2245,33970.89,Pending,2024-05-22
165,4276,31826.47,Pending,2025-04-03
166,2888,48944.24,Processed,2024-04-03
167,1774,34586.68,Processed,2022-11-20
168,2680,39783.88,Pending,2023-04-01
169,25,22835.91,Processed,2023-02-18
170,3655,66914.19,Pending,2023-12-26
171,4672,34063.81,Processed,2024-04-23
172,2248,67356.02,Processed,2025-07-20
173,3417,48642.03,Pending,2022-12-29
174,3781,38895.78,Pending,2024-07-16
175,1305,48801.35,Pending,2024-04-19
176,4647,77068.64,Processed,2024-06-30
177,3853,62743.32,Processed,2024-08-26
178,2265,79228.6,Pending,2024-08-01
179,2487,6433.56,Pending,2024-12-19
180,4319,43927.98,Processed,2024-04-19
181,9,76917.67,Pending,2025-09-17
182,752,84848.92,Pending,2025-03-10
183,1646,48923.12,Pending,2025-03-27
184,2245,32253.6,Pending,2024-07-18
185,437,84201.4,Pending,2025-07-07
186,3883,73520.45,Pending,2023-02-23
187,3201,45730.06,Pending,2022-09-24
188,2151,62805.03,Pending,2024-12-03
189,1664,9714.28,Pending,2024-04-16
190,1061,29642.54,Pending,2025-06-03
191,4843,66122.87,Processed,2024-10-08
192,2378,19092.88,Processed,2023-08-21
193,3068,10303.43,Pending,2024-11-05
194,1386,85805.6,Processed,2023-06-11
195,892,75694.45,Processed,2024-10-11
196,2348,44415.59,Pending,2023-04-05
197,4684,78761.46,Processed,2024-06-03
198,4730,2823.76,Pending,2023-06-24
199,424,26230.54,Pending,2025-06-05
200,4325,28608.18,Processed,2023-09-04
201,1732,44078.83,Processed,2024-01-22
202,1032,19626.29,Pending,2024-09-10
203,3510,80186.47,Pending,2023-05-27
204,1491,41357.69,Pending,2024-03-20
205,1510,31769.18,Pending,2025-01-31
206,2167,1324.32,Pending,2023-04-24
207,2259,89637.72,Pending,2024-01-27
208,4173,43611.14,Pending,2024-04-17
209,4724,40792.47,Processed,2023-11-22
210,1811,52533.2,Pending,2023-10-29
211,445,51400.88,Pending,2023-07-19
212,954,48889.22,Processed,2024-06-01
213,162,69021.81,Pending,2024-03-31
214,537,65975.46,Processed,2023-06-27
215,2316,9675.49,Pending,2024-05-16
216,1358,21179.31,Pending,2025-07-27
217,3731,58898.67,Pending,2024-12-19
218,1640,62787.58,Pending,2024-11-28
219,4038,1026.89,Pending,2023-05-11
220,3560,40096.75,Pending,2025-07-01
221,400,43678.5,Pending,2023-11-19
222,73,32545.38,Pending,2023-07-24
223,2637,14399.21,Processed,2023-09-26
224,896,78172.59,Pending,2023-12-24
225,1087,57390.81,Processed,2025-02-08
226,4279,9959.08,Processed,2024-08-17
227,691,55217.4,Pending,2025-06-01
228,1749,1439.64,Pending,2023-07-04
229,3288,76185.13,Processed,2024-06-04
230,476,78598.84,Pending,2024-06-07
231,4182,16937.35,Processed,2023-11-21
232,2925,50255.65,Processed,2025-08-01
233,4850,7109.96,Pending,2025-01-25
234,1813,33710.99,Processed,2023-01-22
235,3202,82810.06,Processed,2023-07-26
236,1676,88078.31,Processed,2023-04-21
237,2512,52886.42,Processed,2023-01-04
238,3523,57577.18,Pending,2024-08-16
239,1630,31069.49,Pending,2023-09-07
240,2415,72393.13,Pending,2025-03-07
241,3301,25681.06,Pending,2023-12-01
242,3946,43765.91,Pending,2022-11-30
243,2644,64803.4,Pending,2023-12-02
244,2415,34670.8,Processed,2024-09-28
245,3418,88281.98,Processed,2022-11-07
246,1265,20161.33,Processed,2023-10-15
247,4392,73263.77,Processed,2024-08-31
248,1799,83208.89,Processed,2025-08-17
249,2573,488.29,Pending,2023-02-27
250,4155,19880.66,Pending,2024-01-29
251,2721,14532.65,Pending,2024-12-24
252,958,69700.0,Processed,2023-07-01
253,3118,51360.36,Processed,2022-10-29
254,1973,31045.55,Pending,2025-09-09
255,2374,45491.78,Pending,2024-02-01
256,55,82528.86,Pending,2023-02-07
257,4834,22054.81,Processed,2023-07-28
258,1056,83696.38,Pending,2024-10-29
259,4067,77018.16,Pending,2024-01-11
260,4120,27123.13,Processed,2022-11-26
261,2599,74766.37,Pending,2023-04-03
262,3334,77978.92,Processed,2023-04-19
263,3483,52261.83,Processed,2023-07-18
264,1617,40637.8,Processed,2023-08-18
265,818,78250.23,Pending,2023-05-05
266,1379,50399.41,Processed,2024-04-18
267,2479,20496.74,Processed,2024-11-30
268,2148,60933.15,Pending,2023-09-12
269,2500,82305.88,Processed,2022-12-14
270,3989,32320.65,Processed,2024-06-15
271,2972,72974.11,Pending,2024-12-17
272,4128,75005.43,Processed,2024-05-11
273,1196,31868.24,Processed,2025-03-07
274,3037,61998.34,Pending,2024-01-27
275,2456,64009.42,Processed,2025-07-23
276,262,38281.82,Processed,2024-08-18
277,3882,64133.41,Processed,2024-09-19
278,362,29878.08,Processed,2023-07-05
279,3228,26990.99,Processed,2023-06-18
280,843,1532.51,Processed,2025-05-14
281,3012,99.07,Processed,2023-10-18
282,4076,13577.33,Processed,2024-04-10
283,1014,89701.08,Pending,2024-07-25
284,4509,27781.19,Processed,2023-07-13
285,3513,84234.43,Processed,2024-07-17
286,1395,2155.04,Processed,2023-09-11
287,698,15963.92,Pending,2023-05-14
288,2674,35071.8,Pending,2023-02-17
289,4784,10558.69,Processed,2024-03-30
290,2577,944.61,Processed,2024-08-07
291,1388,74850.76,Processed,2025-06-04
292,2771,41441.47,Processed,2023-10-19
293,4482,70947.97,Pending,2025-08-04
294,997,89774.99,Processed,2023-03-28
295,3968,29811.08,Pending,2024-02-01
296,954,32688.98,Processed,2023-07-02
297,3608,71045.82,Pending,2024-10-05
298,1983,69365.03,Pending,2024-12-20
299,4821,39892.19,Pending,2024-04-16
300,4949,1633.31,Processed,2025-03-21
301,2184,46049.24,Processed,2023-03-25
302,1513,58287.09,Pending,2024-10-05
303,256,38294.97,Processed,2025-03-13
304,3282,83789.49,Pending,2023-11-02
305,3097,64709.4,Processed,2025-07-18
306,2405,54296.76,Processed,2024-12-16
307,1582,39098.35,Processed,2023-05-24
308,2753,44044.91,Pending,2025-09-09
309,229,68702.58,Processed,2023-09-24
310,289,81785.28,Processed,2022-10-05
311,1365,20039.9,Processed,2023-12-22
312,2031,35578.43,Processed,2023-10-01
313,2570,76655.98,Processed,2025-08-12
314,1560,34704.71,Processed,2023-11-16
315,2629,83542.14,Pending,2023-11-21
316,4590,45453.31,Processed,2024-01-28
317,2595,30389.74,Processed,2024-10-03
318,2518,84328.11,Processed,2024-06-11
319,2925,41022.39,Pending,2024-08-22
320,904,10301.87,Processed,2023-09-24
321,2613,47027.25,Processed,2024-09-27
322,2262,86202.16,Pending,2025-01-05
323,2070,74818.45,Pending,2025-06-30
324,1831,74896.93,Pending,2025-06-03
325,977,76644.69,Processed,2024-10-10
326,3825,55404.28,Processed,2023-05-30
327,3089,45988.79,Processed,2024-05-06
328,875,15506.95,Pending,2023-06-12
329,1885,73587.66,Pending,2024-04-28
330,3208,8936.48,Processed,2025-01-04
331,1337,33194.53,Pending,2024-05-19
332,3545,76699.5,Pending,2024-02-25
333,4681,20318.63,Processed,2025-06-02
334,4676,4574.22,Pending,2023-12-25
335,2800,50278.19,Processed,2024-10-13
336,1630,56885.06,Pending,2024-01-20
337,4233,85364.79,Pending,2024-03-03
338,731,15260.29,Pending,2025-08-20
339,125,45677.93,Pending,2025-03-01
340,1827,18665.43,Pending,2025-07-21
341,2492,37355.83,Pending,2024-08-07
342,495,76316.86,Processed,2024-08-27
343,2497,7049.4,Processed,2024-10-12
344,973,67581.49,Processed,2025-09-11
345,1651,73001.95,Pending,2025-05-01
346,2154,8205.89,Pending,2023-08-18
347,1908,35101.76,Pending,2023-05-04
348,3292,9302.68,Pending,2023-01-26
349,1774,78006.03,Processed,2023-11-09
350,2600,16957.74,Pending,2025-01-17
351,2920,70913.58,Processed,2024-01-11
352,3675,32197.51,Pending,2023-12-24
353,4479,83277.96,Pending,2024-04-23
354,4665,24989.63,Pending,2023-01-30
355,2767,6267.87,Pending,2023-03-22
356,4936,89940.47,Processed,2024-11-29
357,999,72220.24,Processed,2023-04-26
358,1279,61644.89,Pending,2024-01-25
359,2101,11324.96,Processed,2023-01-31
360,4697,14795.08,Pending,2024-04-14
361,4511,19259.82,Pending,2024-07-26
362,985,51895.62,Processed,2024-01-04
363,584,77434.87,Processed,2024-03-15
364,2176,1672.17,Pending,2025-07-01
365,1908,62903.63,Pending,2023-07-19
366,1044,12641.2,Processed,2024-06-09
367,2698,20264.78,Pending,2024-05-18
368,3478,44404.02,Pending,2023-08-11
369,4092,3285.16,Pending,2023-12-18
370,814,191.41,Pending,2023-03-27
371,1250,89261.13,Processed,2024-08-30
372,2422,7534.91,Processed,2023-10-12
373,2156,55309.79,Processed,2023-03-24
374,4581,87970.03,Pending,2025-05-02
375,1517,16448.06,Processed,2023-06-25
376,920,38429.11,Processed,2025-06-19
377,3140,80384.94,Pending,2025-01-14
378,3989,23275.83,Processed,2023-02-24
379,1257,47198.03,Pending,2025-07-31
380,3942,27238.89,Processed,2023-10-30
381,243,33488.45,Processed,2023-12-09
382,1818,29966.64,Processed,2025-05-26
383,3452,52767.24,Processed,2023-07-06
384,63,49941.83,Processed,2023-04-11
385,3739,6525.58,Processed,2025-05-13
386,3370,58769.45,Pending,2025-07-24
387,1449,66189.92,Processed,2025-03-21
388,4056,19451.72,Pending,2024-03-25
389,1707,89426.22,Pending,2023-06-24
390,2022,44450.44,Processed,2023-03-20
391,4077,75779.01,Processed,2024-12-05
392,4498,20912.52,Processed,2023-05-22
393,2926,20987.19,Pending,2025-06-10
394,2583,53534.45,Processed,2024-02-12
395,1258,82186.32,Pending,2024-08-12
396,3225,1338.47,Pending,2024-02-18
397,3543,59782.01,Pending,2025-06-09
398,1719,20401.48,Pending,2023-09-11
399,39,43392.54,Pending,2022-11-14
400,767,79465.53,Pending,2024-08-12
401,1254,61051.74,Processed,2023-04-14
402,78,59664.39,Pending,2023-05-24
403,4270,75936.61,Processed,2023-11-19
404,1372,29261.76,Processed,2024-12-23
405,3677,30170.58,Pending,2024-04-11
406,3919,83197.39,Processed,2022-11-01
407,4391,49058.42,Pending,2023-07-26
408,2228,195.82,Processed,2025-04-08
409,1492,7590.77,Processed,2025-01-22
410,4906,1475.3,Pending,2023-03-04
411,581,68194.17,Processed,2024-04-11
412,3499,65849.39,Pending,2024-09-09
413,951,85986.11,Pending,2025-06-01
414,1992,8207.16,Processed,2025-06-23
415,2077,11479.89,Pending,2025-01-24
416,2055,49777.57,Pending,2024-09-23
417,2516,85193.35,Processed,2023-10-26
418,1719,27231.05,Pending,2024-06-05
419,784,29559.4,Pending,2023-11-15
420,1387,17035.82,Processed,2025-08-12
421,954,64111.05,Processed,2023-09-23
422,1967,20357.5,Processed,2023-02-16
423,4708,5582.05,Processed,2025-03-16
424,3779,81075.54,Processed,2022-10-06
425,1916,6478.47,Processed,2025-05-26
426,4464,44422.41,Processed,2024-05-14
427,3708,46189.03,Pending,2024-03-05
428,4616,23319.27,Processed,2023-05-18
429,574,57495.96,Processed,2024-04-03
430,2868,36612.88,Pending,2023-12-23
431,4215,81613.37,Pending,2022-10-06
432,4149,47519.71,Pending,2024-11-18
433,2561,56326.56,Processed,2023-11-29
434,4732,37727.02,Processed,2025-06-11
435,1948,31113.88,Pending,2024-08-07
436,2793,38641.84,Processed,2023-05-29
437,4445,28321.09,Pending,2022-11-14
438,389,49478.1,Pending,2024-10-06
439,2300,74880.95,Pending,2023-03-19
440,2377,53677.77,Processed,2024-06-25
441,1006,61595.05,Pending,2024-06-18
442,2305,62621.03,Pending,2025-08-11
443,3127,32247.96,Processed,2022-09-26
444,2616,75676.9,Pending,2023-06-21
445,3258,52925.17,Pending,2025-01-15
446,4005,31571.63,Pending,2023-01-25
447,3271,41672.1,Pending,2024-08-19
448,699,55404.21,Processed,2025-01-19
449,1819,28788.79,Pending,2024-01-12
450,506,62047.82,Pending,2024-03-13
451,3031,77624.99,Pending,2023-07-02
452,3669,60751.07,Processed,2022-11-10
453,4645,30410.48,Pending,2025-07-16
454,2440,52282.73,Processed,2024-10-19
455,4168,7717.81,Pending,2025-03-10
456,123,43155.93,Pending,2024-11-21
457,2340,64513.35,Pending,2024-11-07
458,848,71490.99,Pending,2024-10-01
459,3172,14050.77,Pending,2022-12-25
460,2501,29959.67,Processed,2023-05-11
461,3524,87058.77,Pending,2023-04-21
462,739,27600.02,Pending,2025-07-20
463,391,40384.58,Processed,2025-02-23
464,3010,1121.06,Pending,2023-11-19
465,1040,29235.92,Processed,2022-10-12
466,4908,16818.26,Processed,2025-03-17
467,4394,15646.25,Processed,2025-05-29
468,1826,10745.14,Processed,2025-06-11
469,799,40673.89,Pending,2024-06-17
470,2566,46993.19,Pending,2025-03-13
471,1251,18150.29,Processed,2025-09-11
472,1800,9460.55,Pending,2024-03-30
473,4772,83639.82,Processed,2023-01-20
474,1988,71535.11,Processed,2024-08-24
475,1597,84466.65,Pending,2024-11-17
476,888,4934.87,Pending,2023-06-11
477,2750,72961.61,Processed,2022-12-22
478,1271,62029.83,Pending,2024-04-24
479,2480,33727.52,Pending,2024-11-16
480,3114,62466.34,Pending,2024-04-26
481,1123,77767.68,Processed,2023-10-19
482,1420,56895.12,Pending,2025-08-19
483,4252,31197.09,Pending,2025-06-08
484,2445,34986.38,Processed,2025-09-05
485,80,61036.87,Processed,2025-04-25
486,1226,51802.97,Pending,2022-09-26
487,2446,5644.63,Processed,2023-12-04
488,4908,19186.11,Pending,2023-01-26
489,1167,71628.62,Processed,2024-08-06
490,2345,10770.19,Pending,2024-12-04
491,4066,21950.62,Pending,2025-07-12
492,3506,40527.83,Processed,2024-10-29
493,361,67211.99,Processed,2024-07-02
494,1339,15306.39,Processed,2023-04-01
495,3,15337.47,Pending,2024-12-24
496,2070,32622.08,Pending,2025-03-25
497,2700,42578.11,Pending,2025-08-06
498,3667,24955.22,Pending,2023-11-18
499,2767,49876.66,Processed,2023-08-01
500,4465,29347.9,Pending,2024-08-21
501,1588,1055.22,Processed,2025-05-08
502,4625,26047.5,Pending,2024-05-23
503,2960,21653.28,Processed,2023-03-15
504,728,16754.02,Processed,2024-12-18
505,4043,40716.09,Pending,2025-03-10
506,3043,31577.94,Processed,2024-05-24
507,944,16569.26,Pending,2023-07-24
508,4718,19729.45,Processed,2023-06-15
509,2149,2671.4,Pending,2023-11-04
510,1653,52999.54,Pending,2023-01-08
511,157,88190.94,Processed,2025-07-04
512,3864,17223.4,Processed,2024-07-13
513,3940,57411.55,Processed,2025-05-29
514,2674,15764.07,Pending,2023-09-14
515,4472,59100.77,Processed,2025-05-01
516,4749,67237.14,Processed,2023-10-15
517,1910,41502.91,Pending,2022-09-29
518,4130,75032.39,Pending,2025-01-27
519,2267,56414.22,Pending,2024-03-14
520,4701,71561.03,Processed,2022-09-26
521,2338,35076.74,Processed,2025-03-11
522,4986,16937.35,Processed,2025-06-30
523,278,19003.63,Pending,2023-10-10
524,4290,13985.65,Pending,2025-05-05
525,983,60904.88,Pending,2023-05-17
526,2885,14703.89,Processed,2025-02-15
527,2350,59670.42,Processed,2023-09-07
528,3570,43850.03,Processed,2024-01-29
529,2380,83736.72,Pending,2025-08-03
530,2327,73977.74,Pending,2025-03-07
531,566,20745.48,Processed,2023-02-15
532,3394,8037.21,Pending,2024-02-06
533,4604,24121.46,Pending,2025-04-19
534,2947,52527.64,Processed,2024-02-20
535,428,40806.87,Processed,2024-08-27
536,1797,40063.55,Processed,2025-06-17
537,3665,14971.19,Pending,2022-09-27
538,4407,56599.2,Processed,2025-03-26
539,4956,13670.55,Processed,2023-01-18
540,3207,85199.32,Pending,2024-12-28
541,163,49100.49,Processed,2023-02-10
542,1893,34379.43,Pending,2022-10-25
543,4581,49437.98,Processed,2023-08-11
544,4518,80840.01,Processed,2023-12-27
545,669,25551.48,Processed,2024-07-03
546,2110,70162.45,Pending,2023-08-06
547,3877,32946.01,Pending,2025-02-10
548,3323,89168.97,Processed,2024-09-02
549,3010,77010.59,Pending,2024-05-14
550,4533,83131.55,Processed,2024-05-28
551,2928,48902.35,Pending,2024-04-07
552,4689,33654.91,Processed,2024-12-16
553,2854,8641.48,Processed,2022-12-24
554,1306,73707.56,Processed,2023-11-23
555,3837,48077.1,Processed,2023-12-29
556,3902,53550.45,Pending,2024-10-28
557,4563,9819.28,Pending,2025-02-12
558,1139,85772.11,Processed,2024-10-26
559,2054,52251.34,Processed,2025-04-24
560,1071,46907.77,Pending,2023-11-07
561,2550,59284.88,Pending,2023-06-06
562,103,48937.08,Processed,2022-10-26
563,777,62128.92,Processed,2024-07-31
564,1026,48774.46,Processed,2023-10-06
565,1818,52008.45,Processed,2025-05-29
566,2695,77898.57,Processed,2023-04-12
567,758,86855.18,Pending,2025-04-25
568,3656,79110.12,Pending,2023-08-27
569,1792,74341.76,Pending,2025-01-23
570,2959,23549.18,Pending,2024-01-22
571,2521,80290.04,Processed,2023-12-16
572,4855,42972.56,Processed,2023-02-11
573,4461,10084.0,Pending,2022-10-13
574,1444,54528.82,Processed,2022-10-12
575,3364,84369.11,Processed,2025-09-09
576,3952,3894.15,Pending,2022-12-05
577,4306,49737.46,Pending,2025-04-18
578,3516,68987.4,Pending,2023-07-24
579,4695,32834.44,Pending,2023-11-12
580,1477,3703.89,Processed,2024-01-26
581,2218,72979.78,Pending,2022-09-25
582,3987,72059.72,Processed,2025-01-08
583,3897,84890.88,Processed,2023-11-30
584,1839,27362.87,Pending,2025-06-17
585,4698,392.81,Pending,2025-04-05
586,3672,49170.64,Processed,2024-07-31
587,2933,46519.12,Processed,2024-04-05
588,2319,33857.64,Processed,2023-10-30
589,2456,33713.88,Processed,2025-05-29
590,173,11140.66,Processed,2023-06-07
591,3579,67817.34,Processed,2024-04-19
592,3839,16853.78,Processed,2024-08-26
593,1050,74920.87,Processed,2023-08-13
594,3371,65474.11,Processed,2024-11-02
595,2059,61056.09,Pending,2025-06-12
596,1054,13210.16,Pending,2023-07-08
597,1509,63693.37,Pending,2022-12-20
598,3868,71169.25,Processed,2023-09-19
599,2773,31578.02,Processed,2023-03-16
600,4353,60253.53,Processed,2024-04-11
601,2131,30446.76,Processed,2023-02-14
602,4523,63852.42,Processed,2024-09-09
603,390,54379.36,Processed,2024-12-21
604,1532,73835.57,Pending,2025-03-31
605,3066,19038.18,Processed,2024-08-18
606,543,83965.03,Pending,2023-06-25
607,4334,86422.9,Processed,2024-07-02
608,4580,75233.36,Pending,2025-06-27
609,3710,69540.3,Pending,2022-12-13
610,430,12352.09,Processed,2023-04-05
611,2251,66188.18,Pending,2023-04-08
612,4147,65033.68,Pending,2024-10-17
613,4379,68083.76,Pending,2023-07-01
614,856,696.96,Processed,2024-06-23
615,3521,44235.62,Processed,2022-10-24
616,654,39001.79,Processed,2023-10-23
617,1150,75405.42,Pending,2022-11-10
618,494,64218.94,Pending,2022-10-08
619,3310,86572.4,Pending,2022-11-22
620,3134,20057.79,Processed,2023-12-14
621,4224,17712.52,Pending,2025-06-13
622,4312,33686.31,Pending,2023-08-08
623,3885,46920.38,Processed,2023-03-02
624,1922,75028.55,Pending,2024-07-07
625,1946,51479.57,Processed,2025-02-23
626,1296,86631.41,Pending,2022-10-24
627,3181,58684.89,Pending,2024-12-07
628,4167,81758.97,Processed,2024-05-08
629,1081,19124.72,Pending,2023-04-18
630,3984,53695.86,Pending,2024-07-08
631,4360,5607.99,Pending,2023-02-06
632,2337,73735.65,Pending,2023-04-02
633,1582,48278.1,Processed,2023-07-26
634,2232,6736.88,Processed,2024-10-13
635,2035,45792.13,Processed,2023-03-02
636,2306,82254.25,Processed,2025-04-18
637,2676,63751.14,Pending,2023-05-27
638,4118,28103.94,Pending,2022-10-11
639,3327,39612.91,Processed,2023-10-02
640,3340,31846.91,Processed,2025-03-11
641,3200,89910.9,Processed,2024-02-04
642,1813,67576.72,Processed,2025-02-14
643,1198,2217.33,Processed,2022-11-06
644,4949,63885.22,Pending,2024-04-03
645,1754,4525.31,Pending,2022-11-27
646,1899,75605.85,Pending,2023-03-13
647,3571,8897.59,Pending,2025-01-21
648,4852,53706.42,Processed,2023-10-11
649,2539,70952.4,Pending,2024-06-29
650,211,62484.78,Pending,2024-05-19
651,952,84988.74,Processed,2023-08-29
652,3659,63736.1,Processed,2024-02-10
653,3279,11521.13,Processed,2023-03-01
654,3829,73563.83,Processed,2024-02-11
655,4011,58688.54,Pending,2024-05-06
656,4002,74544.33,Processed,2025-02-17
657,904,61949.3,Processed,2023-03-03
658,2769,19686.55,Pending,2023-12-17
659,1752,81837.11,Pending,2024-09-21
660,3584,46816.41,Processed,2025-01-04
661,1944,37380.81,Pending,2023-07-26
662,3663,83393.49,Pending,2023-06-06
663,1115,78250.62,Pending,2023-06-26
664,1005,1354.94,Processed,2023-11-25
665,3123,36902.51,Processed,2023-08-22
666,4318,15702.47,Processed,2023-02-12
667,3291,33131.19,Pending,2023-02-20
668,2821,42755.05,Processed,2023-09-01
669,990,19020.52,Pending,2022-11-03
